bus0,bus1,voltage,s_nom,length,type
way/341099346-220,way/75609279-220,220.0,983.1120383760948,30621.83,Al/St 240/40 2-bundle 220.0
way/167300914-220,way/93713118-220,220.0,983.1120383760948,711543.07,Al/St 240/40 2-bundle 220.0
way/93713118-220,NZ26-220,220.0,491.5560191880474,139793.78,Al/St 240/40 2-bundle 220.0
NZ26-220,way/167285336-220,220.0,491.5560191880474,638849.81,Al/St 240/40 2-bundle 220.0
way/93713118-220,way/95343089-220,220.0,983.1120383760948,172351.37,Al/St 240/40 2-bundle 220.0
way/94840399-220,way/1099619174-220,220.0,491.5560191880474,1525352.2,Al/St 240/40 2-bundle 220.0
way/33795353-220,way/95048289-220,220.0,491.5560191880474,1348684.56,Al/St 240/40 2-bundle 220.0
NZ28-220,NZ29-220,220.0,491.5560191880474,1849.86,Al/St 240/40 2-bundle 220.0
way/95048289-220,way/95046918-220,220.0,983.1120383760948,702204.72,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ10-220,220.0,983.1120383760948,122512.88,Al/St 240/40 2-bundle 220.0
way/61853727-220,way/232382576-220,220.0,983.1120383760948,296796.34,Al/St 240/40 2-bundle 220.0
way/61455399-220,NZ4-220,220.0,983.1120383760948,1547.64,Al/St 240/40 2-bundle 220.0
NZ4-220,way/235066414-220,220.0,983.1120383760948,17907.55,Al/St 240/40 2-bundle 220.0
way/61853727-220,way/161270797-220,220.0,983.1120383760948,77755.25,Al/St 240/40 2-bundle 220.0
way/75609279-220,way/167177413-220,220.0,983.1120383760948,104789.16,Al/St 240/40 2-bundle 220.0
way/161270797-220,way/82881422-220,220.0,983.1120383760948,36771.99,Al/St 240/40 2-bundle 220.0
way/849110529-220,way/75609279-220,220.0,491.5560191880474,14553.35,Al/St 240/40 2-bundle 220.0
way/93713118-220,NZ26-220,220.0,491.5560191880474,139792.77,Al/St 240/40 2-bundle 220.0
NZ26-220,way/167285336-220,220.0,491.5560191880474,638849.84,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ18-220,220.0,491.5560191880474,253172.97,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ14-220,220.0,491.5560191880474,3527.73,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ14-220,220.0,491.5560191880474,3527.83,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ14-220,220.0,491.5560191880474,3527.75,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ14-220,220.0,491.5560191880474,3527.79,Al/St 240/40 2-bundle 220.0
way/87928925-220,way/87837416-220,220.0,491.5560191880474,14821.65,Al/St 240/40 2-bundle 220.0
way/87837416-220,way/93556808-220,220.0,491.5560191880474,130505.21,Al/St 240/40 2-bundle 220.0
way/87928925-220,way/87837416-220,220.0,491.5560191880474,14243.34,Al/St 240/40 2-bundle 220.0
NZ20-220,NZ23-220,220.0,491.5560191880474,227561.06,Al/St 240/40 2-bundle 220.0
NZ19-220,way/89411122-220,220.0,983.1120383760948,3586.63,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ19-220,220.0,491.5560191880474,249732.56,Al/St 240/40 2-bundle 220.0
NZ37-220,way/89635947-220,220.0,983.1120383760948,11945.54,Al/St 240/40 2-bundle 220.0
way/89636266-220,NZ36-220,220.0,491.5560191880474,2985.23,Al/St 240/40 2-bundle 220.0
NZ36-220,NZ37-220,220.0,983.1120383760948,1638.71,Al/St 240/40 2-bundle 220.0
way/89664063-220,NZ37-220,220.0,983.1120383760948,139972.08,Al/St 240/40 2-bundle 220.0
way/89636510-220,way/170300247-220,220.0,983.1120383760948,26104.9,Al/St 240/40 2-bundle 220.0
way/180519027-220,way/170300247-220,220.0,983.1120383760948,842426.77,Al/St 240/40 2-bundle 220.0
way/170300247-220,NZ32-220,220.0,983.1120383760948,398265.1,Al/St 240/40 2-bundle 220.0
way/33795353-220,NZ31-220,220.0,491.5560191880474,1298480.07,Al/St 240/40 2-bundle 220.0
NZ34-220,way/170300247-220,220.0,983.1120383760948,38065.69,Al/St 240/40 2-bundle 220.0
way/270012796-220,NZ31-220,220.0,983.1120383760948,3825.49,Al/St 240/40 2-bundle 220.0
way/270521928-220,way/89637277-220,220.0,983.1120383760948,15498.55,Al/St 240/40 2-bundle 220.0
NZ39-220,way/89637173-220,220.0,983.1120383760948,10214.09,Al/St 240/40 2-bundle 220.0
way/89664063-220,NZ38-220,220.0,491.5560191880474,3960.02,Al/St 240/40 2-bundle 220.0
NZ34-220,way/89664063-220,220.0,491.5560191880474,197185.63,Al/St 240/40 2-bundle 220.0
NZ28-220,NZ29-220,220.0,491.5560191880474,1849.86,Al/St 240/40 2-bundle 220.0
NZ29-220,way/268826084-220,220.0,983.1120383760948,536653.09,Al/St 240/40 2-bundle 220.0
way/268841395-220,NZ42-220,220.0,983.1120383760948,289875.15,Al/St 240/40 2-bundle 220.0
NZ42-220,way/270521928-220,220.0,983.1120383760948,711139.71,Al/St 240/40 2-bundle 220.0
NZ41-220,way/268841395-220,220.0,983.1120383760948,335956.84,Al/St 240/40 2-bundle 220.0
NZ43-220,way/272195826-220,220.0,983.1120383760948,18891.7,Al/St 240/40 2-bundle 220.0
way/268841395-220,way/412588974-220,220.0,983.1120383760948,199421.76,Al/St 240/40 2-bundle 220.0
way/180514007-220,NZ43-220,220.0,491.5560191880474,926165.7,Al/St 240/40 2-bundle 220.0
way/412588974-220,way/272195826-220,220.0,983.1120383760948,145425.27,Al/St 240/40 2-bundle 220.0
way/180514007-220,NZ43-220,220.0,491.5560191880474,926232.53,Al/St 240/40 2-bundle 220.0
way/272195826-220,way/268841395-220,220.0,983.1120383760948,54059.39,Al/St 240/40 2-bundle 220.0
way/167285336-220,NZ19-220,220.0,491.5560191880474,740599.64,Al/St 240/40 2-bundle 220.0
way/272522517-220,way/167285260-220,220.0,491.5560191880474,84135.79,Al/St 240/40 2-bundle 220.0
way/167285260-220,way/270018358-220,220.0,491.5560191880474,23675.51,Al/St 240/40 2-bundle 220.0
way/270022030-220,way/167283894-220,220.0,983.1120383760948,380396.54,Al/St 240/40 2-bundle 220.0
way/94053861-220,NZ10-220,220.0,983.1120383760948,33775.93,Al/St 240/40 2-bundle 220.0
NZ10-220,NZ8-220,220.0,983.1120383760948,72940.7,Al/St 240/40 2-bundle 220.0
way/414953388-220,way/94840399-220,220.0,491.5560191880474,264789.03,Al/St 240/40 2-bundle 220.0
way/94840399-220,NZ39-220,220.0,491.5560191880474,83143.97,Al/St 240/40 2-bundle 220.0
way/95046918-220,way/93827784-220,220.0,983.1120383760948,260394.41,Al/St 240/40 2-bundle 220.0
way/167285336-220,NZ18-220,220.0,491.5560191880474,739484.35,Al/St 240/40 2-bundle 220.0
way/235066414-220,way/90098853-220,220.0,983.1120383760948,6613.13,Al/St 240/40 2-bundle 220.0
way/90098853-220,way/167293888-220,220.0,983.1120383760948,102690.12,Al/St 240/40 2-bundle 220.0
way/180514007-220,way/414953388-220,220.0,983.1120383760948,574634.01,Al/St 240/40 2-bundle 220.0
NZ20-220,NZ22-220,220.0,983.1120383760948,10272.69,Al/St 240/40 2-bundle 220.0
NZ21-220,NZ22-220,220.0,491.5560191880474,2663.38,Al/St 240/40 2-bundle 220.0
way/148300699-220,NZ13-220,220.0,983.1120383760948,30426.54,Al/St 240/40 2-bundle 220.0
way/167285260-220,NZ20-220,220.0,491.5560191880474,370483.93,Al/St 240/40 2-bundle 220.0
relation/17609399-220,way/167427251-220,220.0,983.1120383760948,688492.62,Al/St 240/40 2-bundle 220.0
NZ16-220,way/275188676-220,220.0,491.5560191880474,8307.64,Al/St 240/40 2-bundle 220.0
way/95048289-220,NZ27-220,220.0,983.1120383760948,362758.25,Al/St 240/40 2-bundle 220.0
way/169512273-220,way/87928925-220,220.0,491.5560191880474,21288.05,Al/St 240/40 2-bundle 220.0
way/412589726-220,NZ41-220,220.0,491.5560191880474,4760.74,Al/St 240/40 2-bundle 220.0
way/412589726-220,NZ41-220,220.0,491.5560191880474,4759.65,Al/St 240/40 2-bundle 220.0
NZ4-220,way/61455399-220,220.0,491.5560191880474,1547.63,Al/St 240/40 2-bundle 220.0
way/89637174-220,NZ38-220,220.0,983.1120383760948,31213.67,Al/St 240/40 2-bundle 220.0
way/89636266-220,way/89635947-220,220.0,491.5560191880474,4427.56,Al/St 240/40 2-bundle 220.0
way/89636266-220,way/89635947-220,220.0,491.5560191880474,4427.81,Al/St 240/40 2-bundle 220.0
way/89636266-220,way/89635947-220,220.0,491.5560191880474,4427.94,Al/St 240/40 2-bundle 220.0
way/89636266-220,way/89635947-220,220.0,491.5560191880474,4427.68,Al/St 240/40 2-bundle 220.0
way/89635947-220,NZ35-220,220.0,491.5560191880474,2108.54,Al/St 240/40 2-bundle 220.0
way/89635947-220,NZ35-220,220.0,491.5560191880474,2108.55,Al/St 240/40 2-bundle 220.0
way/89635947-220,NZ35-220,220.0,491.5560191880474,2108.59,Al/St 240/40 2-bundle 220.0
way/89635947-220,NZ35-220,220.0,491.5560191880474,2108.64,Al/St 240/40 2-bundle 220.0
way/167177413-220,NZ8-220,220.0,491.5560191880474,1644.28,Al/St 240/40 2-bundle 220.0
way/167285336-220,NZ23-220,220.0,491.5560191880474,476822.52,Al/St 240/40 2-bundle 220.0
NZ32-220,way/167286837-220,220.0,983.1120383760948,108416.38,Al/St 240/40 2-bundle 220.0
NZ32-220,way/268826084-220,220.0,983.1120383760948,480388.41,Al/St 240/40 2-bundle 220.0
NZ7-220,way/167293888-220,220.0,983.1120383760948,90993.63,Al/St 240/40 2-bundle 220.0
NZ25-220,NZ24-220,220.0,983.1120383760948,64552.35,Al/St 240/40 2-bundle 220.0
NZ24-220,way/167285336-220,220.0,983.1120383760948,35298.66,Al/St 240/40 2-bundle 220.0
way/180514007-220,way/270521928-220,220.0,983.1120383760948,187374.18,Al/St 240/40 2-bundle 220.0
way/167572576-220,NZ24-220,220.0,491.5560191880474,34574.92,Al/St 240/40 2-bundle 220.0
way/272522517-220,NZ13-220,220.0,491.5560191880474,489170.54,Al/St 240/40 2-bundle 220.0
way/33795353-220,NZ28-220,220.0,983.1120383760948,27347.8,Al/St 240/40 2-bundle 220.0
way/170300247-220,way/89635947-220,220.0,983.1120383760948,19070.8,Al/St 240/40 2-bundle 220.0
NZ40-220,way/180514007-220,220.0,983.1120383760948,203970.42,Al/St 240/40 2-bundle 220.0
NZ40-220,way/180519027-220,220.0,983.1120383760948,88853.36,Al/St 240/40 2-bundle 220.0
NZ9-220,way/187858674-220,220.0,983.1120383760948,9035.54,Al/St 240/40 2-bundle 220.0
NZ9-220,way/167293888-220,220.0,983.1120383760948,94317.36,Al/St 240/40 2-bundle 220.0
way/235066414-220,way/188180344-220,220.0,983.1120383760948,138280.76,Al/St 240/40 2-bundle 220.0
way/412589726-220,NZ41-220,220.0,491.5560191880474,4761.5,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ12-220,220.0,983.1120383760948,114698.03,Al/St 240/40 2-bundle 220.0
NZ11-220,NZ12-220,220.0,491.5560191880474,1214.17,Al/St 240/40 2-bundle 220.0
NZ12-220,NZ11-220,220.0,491.5560191880474,1214.19,Al/St 240/40 2-bundle 220.0
way/627162826-220,NZ26-220,220.0,491.5560191880474,5336.15,Al/St 240/40 2-bundle 220.0
way/89943957-220,way/232382576-220,220.0,983.1120383760948,14661.62,Al/St 240/40 2-bundle 220.0
way/89664063-220,NZ38-220,220.0,491.5560191880474,3959.86,Al/St 240/40 2-bundle 220.0
way/93556808-220,way/272522517-220,220.0,491.5560191880474,26511.59,Al/St 240/40 2-bundle 220.0
way/167285260-220,way/270554679-220,220.0,983.1120383760948,45765.3,Al/St 240/40 2-bundle 220.0
way/270554679-220,way/270556206-220,220.0,983.1120383760948,90804.4,Al/St 240/40 2-bundle 220.0
way/270554679-220,way/255873374-220,220.0,491.5560191880474,32586.74,Al/St 240/40 2-bundle 220.0
way/167177413-220,NZ7-220,220.0,491.5560191880474,3334.06,Al/St 240/40 2-bundle 220.0
NZ7-220,way/167177413-220,220.0,491.5560191880474,3334.04,Al/St 240/40 2-bundle 220.0
way/119877500-220,way/270022030-220,220.0,983.1120383760948,130289.78,Al/St 240/40 2-bundle 220.0
way/100957314-220,NZ28-220,220.0,983.1120383760948,111452.34,Al/St 240/40 2-bundle 220.0
way/268841395-220,NZ41-220,220.0,983.1120383760948,335820.93,Al/St 240/40 2-bundle 220.0
way/167427251-220,NZ9-220,220.0,983.1120383760948,413722.88,Al/St 240/40 2-bundle 220.0
way/167300914-220,NZ25-220,220.0,491.5560191880474,2315.0,Al/St 240/40 2-bundle 220.0
way/95512216-220,way/1034927052-220,220.0,983.1120383760948,200489.24,Al/St 240/40 2-bundle 220.0
way/95512216-220,way/409049317-220,220.0,983.1120383760948,109103.41,Al/St 240/40 2-bundle 220.0
way/89636510-220,NZ33-220,220.0,491.5560191880474,2070.2,Al/St 240/40 2-bundle 220.0
way/89636510-220,NZ33-220,220.0,491.5560191880474,2070.21,Al/St 240/40 2-bundle 220.0
way/89636510-220,NZ33-220,220.0,491.5560191880474,2070.23,Al/St 240/40 2-bundle 220.0
way/89636510-220,NZ33-220,220.0,491.5560191880474,2070.21,Al/St 240/40 2-bundle 220.0
way/89637174-220,NZ39-220,220.0,491.5560191880474,6752.74,Al/St 240/40 2-bundle 220.0
way/270012796-220,NZ30-220,220.0,491.5560191880474,1660.31,Al/St 240/40 2-bundle 220.0
way/270012796-220,NZ30-220,220.0,491.5560191880474,1660.3,Al/St 240/40 2-bundle 220.0
way/93556808-220,way/270022030-220,220.0,983.1120383760948,218384.83,Al/St 240/40 2-bundle 220.0
way/191346761-220,NZ23-220,220.0,983.1120383760948,31736.27,Al/St 240/40 2-bundle 220.0
way/167705537-220,NZ27-220,220.0,491.5560191880474,1930.6,Al/St 240/40 2-bundle 220.0
NZ27-220,way/167705537-220,220.0,491.5560191880474,1930.6,Al/St 240/40 2-bundle 220.0
way/33795353-220,way/93827784-220,220.0,983.1120383760948,418714.96,Al/St 240/40 2-bundle 220.0
way/95344674-220,relation/17609399-220,220.0,983.1120383760948,270091.91,Al/St 240/40 2-bundle 220.0
NZ11-220,NZ6-220,220.0,983.1120383760948,110765.22,Al/St 240/40 2-bundle 220.0
NZ5-220,NZ3-220,220.0,983.1120383760948,49755.84,Al/St 240/40 2-bundle 220.0
NZ5-220,NZ6-220,220.0,491.5560191880474,1077.59,Al/St 240/40 2-bundle 220.0
NZ2-220,way/156094589-220,220.0,983.1120383760948,19113.24,Al/St 240/40 2-bundle 220.0
NZ2-220,NZ3-220,220.0,491.5560191880474,2296.58,Al/St 240/40 2-bundle 220.0
NZ3-220,NZ2-220,220.0,491.5560191880474,2296.7,Al/St 240/40 2-bundle 220.0
way/627162826-220,NZ26-220,220.0,491.5560191880474,5336.55,Al/St 240/40 2-bundle 220.0
way/409049317-220,way/93419960-220,220.0,983.1120383760948,18625.52,Al/St 240/40 2-bundle 220.0
NZ18-220,way/89411122-220,220.0,983.1120383760948,2431.78,Al/St 240/40 2-bundle 220.0
way/167285336-220,way/95344674-220,220.0,983.1120383760948,155182.58,Al/St 240/40 2-bundle 220.0
NZ6-220,NZ5-220,220.0,491.5560191880474,1077.48,Al/St 240/40 2-bundle 220.0
way/167300914-220,NZ25-220,220.0,491.5560191880474,2314.98,Al/St 240/40 2-bundle 220.0
way/167177413-220,NZ8-220,220.0,491.5560191880474,1644.28,Al/St 240/40 2-bundle 220.0
way/275188676-220,way/87837416-220,220.0,983.1120383760948,84403.42,Al/St 240/40 2-bundle 220.0
way/167285260-220,NZ15-220,220.0,983.1120383760948,24616.16,Al/St 240/40 2-bundle 220.0
way/275188676-220,NZ15-220,220.0,491.5560191880474,1614.61,Al/St 240/40 2-bundle 220.0
way/275188676-220,NZ15-220,220.0,491.5560191880474,1614.48,Al/St 240/40 2-bundle 220.0
way/849110529-220,way/75609279-220,220.0,491.5560191880474,14554.39,Al/St 240/40 2-bundle 220.0
way/87897292-220,way/75609279-220,220.0,983.1120383760948,14649.39,Al/St 240/40 2-bundle 220.0
way/1167708390-220,way/1026587442-220,220.0,983.1120383760948,42201.65,Al/St 240/40 2-bundle 220.0
NZ30-220,way/270012796-220,220.0,491.5560191880474,1660.3,Al/St 240/40 2-bundle 220.0
NZ30-220,way/270012796-220,220.0,491.5560191880474,1660.3,Al/St 240/40 2-bundle 220.0
NZ30-220,way/270012796-220,220.0,491.5560191880474,1660.29,Al/St 240/40 2-bundle 220.0
way/26671244-220,way/61853727-220,220.0,983.1120383760948,20738.87,Al/St 240/40 2-bundle 220.0
NZ1-220,way/87897292-220,220.0,491.5560191880474,1791.56,Al/St 240/40 2-bundle 220.0
way/87897292-220,NZ1-220,220.0,491.5560191880474,1791.54,Al/St 240/40 2-bundle 220.0
NZ17-220,way/1034927052-220,220.0,491.5560191880474,4260.49,Al/St 240/40 2-bundle 220.0
way/1034927052-220,way/167285260-220,220.0,983.1120383760948,24984.58,Al/St 240/40 2-bundle 220.0
way/90092620-220,NZ42-220,220.0,983.1120383760948,13044.25,Al/St 240/40 2-bundle 220.0
NZ36-220,way/89636266-220,220.0,491.5560191880474,2985.22,Al/St 240/40 2-bundle 220.0
way/167300914-220,way/1167708390-220,220.0,983.1120383760948,20317.55,Al/St 240/40 2-bundle 220.0
way/1099619174-220,way/33795353-220,220.0,491.5560191880474,173367.44,Al/St 240/40 2-bundle 220.0
way/412589726-220,NZ41-220,220.0,491.5560191880474,4759.96,Al/St 240/40 2-bundle 220.0
NZ22-220,NZ21-220,220.0,491.5560191880474,2663.45,Al/St 240/40 2-bundle 220.0
NZ31-220,NZ34-220,220.0,491.5560191880474,107803.11,Al/St 240/40 2-bundle 220.0
NZ13-220,way/167283894-220,220.0,491.5560191880474,58898.65,Al/St 240/40 2-bundle 220.0
way/341099346-220,way/156094589-220,220.0,491.5560191880474,12850.69,Al/St 240/40 2-bundle 220.0
way/359449581-220,way/341099346-220,220.0,491.5560191880474,36998.97,Al/St 240/40 2-bundle 220.0
way/1363994055-220,way/907631032-220,220.0,491.5560191880474,15687.15,Al/St 240/40 2-bundle 220.0
way/161270797-220,way/1363994055-220,220.0,491.5560191880474,21363.56,Al/St 240/40 2-bundle 220.0
way/907631032-220,way/359449581-220,220.0,491.5560191880474,20527.85,Al/St 240/40 2-bundle 220.0
way/341099346-220,way/156094589-220,220.0,491.5560191880474,12868.94,Al/St 240/40 2-bundle 220.0
way/849110529-220,way/1018655038-220,220.0,491.5560191880474,7406.47,Al/St 240/40 2-bundle 220.0
way/849110529-220,way/1018655038-220,220.0,491.5560191880474,7406.46,Al/St 240/40 2-bundle 220.0
way/359449581-220,way/75609279-220,220.0,983.1120383760948,37402.71,Al/St 240/40 2-bundle 220.0
way/75609279-220,way/61455399-220,220.0,983.1120383760948,15710.99,Al/St 240/40 2-bundle 220.0
way/1018655038-220,way/87837416-220,220.0,491.5560191880474,282635.45,Al/St 240/40 2-bundle 220.0
way/1018655038-220,way/87837416-220,220.0,491.5560191880474,286622.95,Al/St 240/40 2-bundle 220.0
relation/17609399-220,way/95344674-220,220.0,491.5560191880474,285585.84,Al/St 240/40 2-bundle 220.0
way/26671244-220,NZ1-220,220.0,983.1120383760948,90783.69,Al/St 240/40 2-bundle 220.0
